description,funding_total_usd,competitors,target
SaaS that helps rich people to meet people,5047377,73,1
A platform connecting freelancers with gym,437330,45,1
Basically Spotify for kids,3852805,89,1
Website to find kids,324672,54,0
Like Google but for freelancers,432781,12,1
app that helps dogs to meet people,473760,12,1
Selling cheap app online,8126779,41,1
A crazy Platform app,934777,72,0
I want to build a Blockchain for dogs,4055976,78,1
A smart app app,142058,67,0
Basically Airbnb for freelancers,4098268,72,1
Website to find doctors,7983382,74,1
Automated SaaS tool,5498444,60,1
Best local app in online,212906,58,0
I want to build a app for kids,278368,15,1
Best local app in online,680829,67,0
Like Netflix but for dogs,172232,39,0
A platform connecting doctors with salon,206020,60,0
app that helps gamers to find jobs,35154,62,0
Best exclusive app in online,6842545,81,1
Blockchain that helps kids to travel cheaper,1839081,76,1
I want to build a Neural Net for seniors,4328552,82,1
Best fast app in online,6846785,79,1
Automated AI tool,1325832,95,0
Bot that helps seniors to save money,3194612,72,1
Basically Amazon for dogs,112937,50,0
A platform connecting gamers with agency,288489,29,0
Website to find freelancers,4937536,50,1
Like Tinder but for students,188248,53,0
A fast Algorithm app,5032737,66,1
Automated app tool,358939,56,0
Basically Tinder for doctors,7638428,50,1
Website to find rich people,201736,52,1
app that helps designers to find jobs,401340,49,0
Automated Drone tool,5778369,57,1
A fast Algorithm app,8744592,46,1
Best sustainable agency in London,82632,58,0
Like Uber but for doctors,59291,70,0
Website to find seniors,137123,94,0
Best local app in online,7496289,31,1
A exclusive Algorithm app,8828817,78,1
A platform connecting rich people with app,663141,80,1
Selling smart consulting online,288160,18,0
A platform connecting designers with app,8068252,92,0
Basically Uber for designers,167510,26,0
I want to build a Platform for gamers,471470,80,0
Selling smart app online,7148726,63,1
Like Netflix but for doctors,218029,27,0
Best exclusive cafe in Delhi,322306,41,0
I want to build a AI for freelancers,5034332,95,1
Best local app in online,8486182,25,1
app that helps designers to meet people,455028,10,1
Basically Google for kids,7217613,41,1
Website to find freelancers,7731425,73,1
Best sustainable restaurant in New York,354816,79,0
Automated app tool,248156,18,1
Like Spotify but for students,388839,60,0
Basically Netflix for kids,3169338,82,0
Website to find freelancers,6269655,67,1
Selling crazy app online,6859883,93,0
Like Google but for gamers,4320293,92,0
Website to find kids,8140558,66,1
A platform connecting designers with app,5213704,58,1
I want to build a app for students,112669,60,0
Like Facebook but for students,198332,38,1
Website to find designers,210838,60,1
Basically Airbnb for dogs,374400,68,1
Automated Drone tool,5963354,59,1
Website to find designers,166379,20,0
A platform connecting designers with store,237396,66,0
Basically Netflix for freelancers,256107,10,1
app that helps designers to learn coding,317631,55,0
Selling cheap app online,4159978,71,1
Best local clothing brand in Global,167024,21,0
I want to build a Neural Net for dogs,6213447,86,1
Website to find rich people,5944641,90,0
Automated Bot tool,9478078,79,1
Website to find seniors,222942,65,0
Like Spotify but for rich people,338018,61,0
I want to build a app for dogs,308357,14,1
Basically Netflix for students,424634,18,1
Like Amazon but for designers,2088192,50,1
Like Netflix but for kids,3037560,75,1
Like Google but for gamers,3664780,83,0
Like Tinder but for kids,7875803,59,1
A platform connecting kids with app,5817878,47,1
A platform connecting gamers with app,4829314,56,1
Automated app tool,52409,66,1
Drone that helps students to travel cheaper,4121217,50,1
Basically Tinder for dogs,4571376,56,1
Selling smart clothing brand online,133859,69,1
Best sustainable agency in London,100129,66,0
A simple Neural Net app,3351078,78,1
Website to find doctors,75936,68,0
Like Netflix but for gamers,488802,15,1
Selling cheap app online,1904686,54,1
Automated app tool,130352,38,0
A platform connecting kids with agency,211107,36,0
Website to find rich people,241515,63,0
Selling simple app online,2184938,66,1
Automated Neural Net tool,7319840,76,1
Automated app tool,363888,29,0
Basically Spotify for designers,28309,52,0
Automated Blockchain tool,4589077,67,1
Website to find designers,111645,65,0
Automated Platform tool,5387186,86,1
I want to build a app for gamers,217101,16,1
Automated SaaS tool,9467478,61,1
Automated AI tool,9625346,89,1
Best simple app in online,7605155,84,0
Best fast gym in New York,171365,45,0
Website to find seniors,7781977,90,1
app that helps gamers to save money,407852,25,0
Drone that helps gamers to save money,305550,52,0
Selling sustainable app online,3821406,95,1
Website to find gamers,15314,11,0
Best crazy cafe in Delhi,310703,55,1
Website to find gamers,2429,69,0
Like Tinder but for doctors,150450,51,1
Automated app tool,256307,44,1
Selling local app online,1249180,44,1
Basically Facebook for seniors,51285,14,0
app that helps doctors to learn coding,165451,18,1
app that helps kids to get fit,181142,44,0
Automated app tool,344736,19,0
I want to build a Drone for freelancers,9614800,46,1
Selling exclusive app online,8247702,58,1
A platform connecting designers with app,3060849,58,1
app that helps rich people to save money,236424,33,0
A platform connecting kids with app,8904686,90,1
Basically Airbnb for kids,121234,77,1
Website to find students,383610,25,0
A platform connecting students with restaurant,217330,25,0
I want to build a AI for rich people,8835918,95,1
Like Spotify but for dogs,376394,30,0
Automated Platform tool,1849175,75,1
I want to build a app for students,19584,58,0
A exclusive app app,129609,22,1
Automated app tool,296435,32,0
A local AI app,7037819,80,1
Best luxury app in online,1458704,54,1
Automated app tool,257279,61,0
Automated AI tool,1811684,62,1
A simple SaaS app,1816401,41,1
Best local cafe in New York,81694,39,0
app that helps kids to travel cheaper,115235,65,0
Best exclusive app in online,5048662,67,1
Basically Airbnb for rich people,109477,29,0
app that helps seniors to travel cheaper,41566,34,0
I want to build a Drone for freelancers,4139088,84,0
Selling local salon online,412639,9,0
Basically Uber for doctors,2150470,51,1
I want to build a SaaS for doctors,2421411,77,1
AI that helps dogs to learn coding,6828339,69,1
app that helps students to find jobs,422289,20,1
A exclusive Neural Net app,6430192,76,1
Neural Net that helps rich people to meet people,9051045,71,1
Website to find designers,102928,49,0
Like Facebook but for doctors,7928752,90,1
Automated app tool,382195,65,0
Website to find dogs,628868,82,0
Best local app in online,505893,47,1
A platform connecting gamers with salon,443118,61,0
Neural Net that helps students to meet people,3536215,76,1
Selling fast clothing brand online,414531,65,0
Like Amazon but for seniors,117107,32,0
Automated Platform tool,8968970,86,0
A exclusive app app,258522,53,0
Selling crazy app online,1830267,62,1
Like Facebook but for kids,277977,37,0
Website to find dogs,383290,37,0
I want to build a app for dogs,366180,55,0
I want to build a app for doctors,372167,67,0
Basically Amazon for designers,5753606,94,1
Selling fast bakery online,439306,28,0
Basically Amazon for rich people,609374,84,0
Best crazy restaurant in Mumbai,317195,38,0
Best fast app in online,6492516,94,0
A smart Blockchain app,3560537,79,1
A crazy app app,8398,34,0
Basically Amazon for dogs,8182514,65,1
Best sustainable restaurant in London,340675,69,0
A local Platform app,8081228,26,1
Best luxury agency in Mumbai,278948,45,0
Like Google but for seniors,475205,59,0
Website to find doctors,3505972,92,0
I want to build a Platform for doctors,7606492,82,0
Best local restaurant in Bangalore,1784,30,0
Like Spotify but for rich people,228154,44,0
Selling smart app online,8402812,45,1
Selling simple consulting online,434547,18,1
Neural Net that helps doctors to learn coding,534670,47,0
I want to build a app for students,131063,35,0
I want to build a Drone for rich people,997634,59,0
app that helps students to learn coding,322351,26,0
A crazy app app,461520,63,0
Platform that helps kids to find jobs,4320332,41,1
Best smart consulting in Remote,403489,27,0
Selling simple cafe online,151025,44,0
Selling simple store online,357978,49,0
app that helps dogs to travel cheaper,130934,31,0
A luxury app app,83391,34,0
Automated Algorithm tool,7844854,80,1
A smart app app,207942,64,0
Website to find designers,292972,39,0
Website to find seniors,394705,66,0
Automated Bot tool,5475073,72,1
Basically Uber for rich people,434696,59,1
A platform connecting rich people with app,4617660,67,1
Website to find freelancers,2456289,94,1
A exclusive Neural Net app,3581816,62,1
A platform connecting kids with store,258090,37,0
Selling exclusive app online,9102601,77,1
Selling crazy app online,6700330,59,1
Like Tinder but for rich people,352092,22,0
Like Spotify but for students,8372344,66,1
Platform that helps doctors to find jobs,4035211,79,1
Selling sustainable bakery online,325076,79,0
A fast app app,468482,11,0
Best smart restaurant in Delhi,304259,18,1
I want to build a app for freelancers,217487,66,0
Best fast consulting in London,106160,66,0
A platform connecting freelancers with gym,396013,30,0
Automated app tool,191833,40,0
Website to find rich people,7465555,82,1
I want to build a app for gamers,114120,11,0
app that helps freelancers to save money,114061,34,0
Best fast app in online,2683711,47,1
Website to find seniors,461068,32,1
Selling smart app online,2265707,74,1
I want to build a SaaS for designers,2831340,73,1
Selling simple cafe online,476091,41,0
Best crazy bakery in Remote,79940,34,0
A platform connecting dogs with app,7883801,43,1
Blockchain that helps students to learn coding,8881682,92,0
Selling exclusive app online,8783431,48,1
Best luxury bakery in Bangalore,73727,28,0
Blockchain that helps rich people to save money,571627,92,0
app that helps seniors to meet people,293002,47,0
Basically Airbnb for students,4387320,94,0
A platform connecting designers with store,299850,46,1
A smart app app,251686,15,1
Automated app tool,213053,56,0
A cheap app app,194888,24,1
Automated app tool,477701,26,0
A platform connecting freelancers with app,9024502,58,1
Basically Amazon for designers,8342462,62,1
Automated app tool,108335,60,0
Basically Google for rich people,234183,62,0
Like Google but for doctors,232906,42,0
Automated app tool,185088,52,0
Best smart clothing brand in Delhi,159250,46,0
Website to find rich people,8345810,52,1
Automated Drone tool,6867548,74,1
Basically Tinder for kids,312399,24,0
Like Netflix but for designers,485263,43,0
I want to build a SaaS for doctors,4514717,42,1
Algorithm that helps freelancers to get fit,3825240,46,1
Basically Netflix for rich people,7256688,81,1
A platform connecting dogs with salon,68225,63,0
Best crazy app in online,6451071,64,1
Basically Google for designers,347218,55,0
A luxury app app,369806,65,0
A platform connecting students with salon,174346,20,0
Website to find freelancers,303131,28,1
Selling luxury bakery online,293892,60,0
Best sustainable app in online,4117984,70,1
A platform connecting freelancers with app,5243699,62,1
I want to build a app for gamers,70050,63,0
Basically Amazon for students,368540,31,0
I want to build a app for rich people,150701,41,0
Selling cheap agency online,38167,63,0
Best luxury cafe in Mumbai,57410,70,0
Automated Blockchain tool,4836088,81,1
Best luxury app in online,4433685,94,1
app that helps seniors to get fit,37753,38,0
Crypto that helps rich people to find jobs,3024917,95,1
Best local app in online,3471790,69,1
app that helps seniors to meet people,37779,41,0
Selling local agency online,382164,5,0
Automated app tool,106608,15,1
Selling cheap app online,2660053,68,1
Automated Crypto tool,4743496,95,1
Website to find doctors,95807,32,1
Like Tinder but for seniors,116197,30,1
I want to build a app for students,459377,39,0
Basically Amazon for gamers,9060156,82,0
A platform connecting freelancers with app,7284073,88,1
Basically Spotify for seniors,7977323,73,1
Drone that helps rich people to learn coding,1823842,47,1
